X,Y,TYPE,NAME,ONEWAY,LANES
-17.5088444625492,14.746543861565,residential,,,
-17.50867045,14.74790585,service,,,
-17.50682785,14.7357418,residential,,,
-17.5086375992218,14.7460171566705,residential,,,
-17.5074973,14.743037,residential,,,
-17.5067462785415,14.7323799056877,residential,,,
-17.5073353994464,14.7465440092317,residential,,,
-17.5083466274681,14.7443429321973,residential,,,
-17.50797555,14.73852345,residential,,,
-17.5083009,14.7390827,residential,,,
-17.50791025,14.7465722,residential,,,
-17.5080419112316,14.7499273488131,tertiary,,,
-17.5080342,14.73338655,residential,,,
-17.50797985,14.74802635,tertiary,,yes,
-17.5062920500412,14.7498246499811,residential,,,
-17.5046487364522,14.7479396333506,residential,,,
-17.5073558145921,14.7341119491931,residential,,,
-17.506765857869,14.7387091348732,residential,,,
-17.5076084,14.7515421385521,tertiary,,,
-17.5075397915498,14.7513003997727,tertiary,,,
-17.50748395,14.74532445,residential,,,
-17.5067349248364,14.7442610694052,residential,,,
-17.5067227499835,14.7482328000113,residential,,,
-17.5062539499983,14.7459811499669,residential,,,
-17.5067204051027,14.7523910233654,unclassified,,,
-17.506967149448,14.746365509829,residential,,,
-17.5066194,14.74662045,residential,,,
-17.5060443,14.74783695,residential,,,
-17.5066627000017,14.7507281499888,residential,,,
-17.5058403938105,14.7397331315021,service,,,
-17.506357919872,14.7503958487255,residential,,,
-17.5066696,14.74509975,residential,,,
-17.5061416995058,14.7438616310696,residential,,,
-17.50596215,14.75029155,residential,,,
-17.5058422015192,14.7537522188416,residential,,,
-17.5053326508325,14.7511348619721,residential,,,
-17.5053324135267,14.7530828568401,residential,,,
-17.5052591,14.7523097,residential,,,
-17.5037426489834,14.7527321774301,residential,,,
-17.5042571,14.75341985,residential,,,
-17.5030166844056,14.7519307783942,residential,,,
-17.502625877771,14.723281312281,service,,,
-17.501528789055,14.729534206859,residential,,,
-17.50151517602,14.7278579674337,residential,,,
-17.4994768,14.730639,residential,,,
-17.50004865,14.72826335,tertiary,,,
-17.5005482415737,14.7262137684966,primary,,yes,
-17.5005461607321,14.7262925864549,primary,,yes,
-17.5005477196523,14.7261260557287,primary,,yes,
-17.5003475680572,14.7259682793405,secondary,,yes,
-17.4963242971336,14.7250369986296,primary,Route de la Corniche Ouest,yes,2
-17.5002991,14.72596535,secondary,,yes,
-17.4963913492885,14.725004599671,primary,Route de la Corniche Ouest,yes,2
-17.4979732998804,14.7214026998428,secondary,,,
-17.5000346858725,14.7311057815448,residential,,,
-17.4988656873689,14.7321849392822,residential,,,
-17.4988959054713,14.7227420472557,secondary_link,,yes,
-17.4980876,14.7283617,residential,,,
-17.496335559373,14.723210597744,secondary,Avenue Cheick Anta Diop,yes,
-17.4963249094969,14.723141697714,secondary,Avenue Cheick Anta Diop,yes,
-17.49867756291,14.7224203531228,secondary_link,,yes,
-17.4964144830991,14.7304596055272,residential,,,
-17.4973274,14.73028375,residential,,,
-17.4974439,14.7307122,residential,,,
-17.4948904413537,14.7310553467312,residential,,,
-17.4948895030171,14.72917625,residential,,,
-17.4955728,14.73157415,residential,,,
-17.4939402272182,14.731227989412,residential,,,
-17.49540965,14.73204315,residential,,,
-17.49357975,14.73095405,tertiary,,,
-17.4953023965805,14.7323170987911,residential,,,
-17.4969614121884,14.7312425975074,residential,,,
-17.4965684,14.73232955,residential,,,
-17.4960227000178,14.7292055500243,residential,,,
-17.4958988058164,14.7300421,residential,,,
-17.493658693785,14.7320099476975,residential,,,
-17.49559265,14.7297772,residential,,,
-17.49583885,14.73207635,residential,,,
-17.4924726506269,14.7186476125527,residential,,,
-17.49532615,14.72936685,residential,,,
-17.4943668408688,14.732495546726,residential,,,
-17.49496335,14.73204315,residential,,,
-17.4893387,14.7550509,residential,,,
-17.4942697080925,14.718294751546,residential,,,
-17.4949104,14.72997165,residential,,,
-17.4946170958559,14.7235194445331,primary,Route de la Corniche Ouest,yes,2
-17.4945700858685,14.7235687296674,primary,Route de la Corniche Ouest,yes,2
-17.4942080519727,14.7317733436953,residential,,,
-17.4933849485093,14.7212379474211,primary,Route de la Corniche Ouest,yes,2
-17.4934061,14.72141685,primary,Route de la Corniche Ouest,yes,2
-17.4942100584228,14.7236497195487,secondary,,yes,
-17.4941379484009,14.723943463435,tertiary,,yes,
-17.4940122687313,14.7239371262769,tertiary,,yes,
